station_name,departures,arrivals,net_flow
Danforth Ave / Aldridge Ave,2301,2226,75
Danforth Ave / Barrington Ave,3958,3787,171
Danforth Ave / Coxwell Ave,5130,5018,112
Danforth Ave / Danforth Rd,684,645,39
Danforth Ave / Dewhurst Blvd,3126,2700,426
Danforth Ave / Ellerbeck St,6354,6344,10
Danforth Ave / Gough Ave,8740,8000,740
Danforth Ave / Lamb Ave,5927,5817,110
Danforth Ave / Warden Ave,366,385,-19
Danforth Ave / Westlake Ave,2957,2717,240
Danforth Rd / Birchmount Rd,459,475,-16
Davenport Rd / Avenue Rd,8651,9201,-550
Davenport Rd / Bathurst St,2101,1647,454
Davenport Rd / Bedford Rd,10918,10179,739
Davenport Rd / Christie St,4817,3818,999
Davenport Rd / Dovercourt Rd - SMART,2335,2139,196
Davenport Rd / Lansdowne Ave,2993,2831,162
Davenport Rd / McAlpine St - SMART,4143,3690,453
Davisville Ave / Pailton Cres,2461,1563,898
Dawes Rd / Taylor Creek Trl,1281,1325,-44
Dentonia Park,1403,1407,-4
Don Mills Rd / Fairview Mall Dr,113,114,-1
Don Mills Rd / Goodview Rd,89,103,-14
Donlands Subway Station,3308,2860,448
Downsview Park Blvd / Keele St  - SMART,1932,1969,-37
Downsview Park Subway Station - SMART,828,770,58
Driftwood Ave / Finch Corridor Trail,182,172,10
Dufferin Gate - SMART,4600,4677,-77
Dufferin St / Bloor St W,3189,2765,424
Dufferin St / Finch Corridor Trail,283,291,-8
Dufferin St / Queen St W,6093,6311,-218
Dufferin St / Sylvan Av (Dufferin Grove Park),11654,11870,-216
Duncan Mill Rd / Valleybrook Dr,44,50,-6
Duncan St / Adelaide St W - SMART,12212,12216,-4
Dundas St E / Boulton Ave - SMART,6521,6760,-239
Dundas St E / Broadview Ave,10450,10792,-342
Dundas St E / George St,10640,9753,887
Dundas St E / Parliament St,19844,20001,-157
Dundas St E / Pembroke St,6254,6085,169
Dundas St E / Regent Park Blvd,31047,31710,-663
Dundas St E / River St,19762,20473,-711
Dundas St W / Crawford St,30691,32470,-1779
Dundas St W / Edna Ave,6220,6354,-134
Dundas St W / Prince Edward Dr N,817,926,-109
Dundas St W / St Helen's Ave - SMART,3680,3277,403
Dundas St W / St. Patrick St,21750,21757,-7
Dundas St W / Yonge St,32718,34404,-1686
Dundonald St / Church St,17205,7462,9743
Dunn Ave / Queen St W,1259,1437,-178
Durie St / Dundas St W,1834,1766,68
E.T Seton Park - South,1382,1376,6
E.T. Seton Park (Eglinton Ave E / Leslie St),1238,1259,-21
East Liberty St / Western Battery Rd,21242,21387,-145
East Lynn Ave / Danforth Ave,3439,3468,-29
Eastern Ave / Winnifred Ave,1411,1724,-313
Eastgate Cres / Pharmacy Ave,171,161,10
Eastwood Rd / Coxwell Ave,5955,6179,-224
Eastwood Rd / Woodbine Ave - SMART,1869,1965,-96
Edward St / Yonge St,19126,19033,93
Eglinton Ave E / Brentcliffe Rd,1567,1653,-86
Eglinton Ave E / Brimley Rd,168,159,9
Eglinton Ave E / Mason Rd,57,53,4
Eglinton Ave E / Redpath Ave,5858,4222,1636
Eglinton Ave E / Victoria Park Ave,16,19,-3
Eglinton Ave W / Ennerdale Rd,707,749,-42
Eglinton Ave W / Gilbert Ave,423,309,114
Eglinton Ave W / Henning Ave SMART,1278,1172,106
Eglinton Ave W / Oakwood Ave,28,17,11
Eglinton Ave W / Prospect Cemetery,338,269,69
Eglinton Ave W / Scarlett Rd,1033,1074,-41
Eglinton Ave W / Venn Cres,499,501,-2
Eglinton West Subway Station,39,21,18
Elizabeth St / Edward St (Bus Terminal),15570,16826,-1256
Elizabeth St / Elm St,18103,18727,-624
Ellesmere Rd / Markham Rd,211,207,4
Ellis Ave / The Queensway,2027,2263,-236
Elm St/ University Ave (East Side),11631,12959,-1328
Elwood Blvd / Avenue Rd,875,798,77
Emdaabiimok Ave / Lake Shore Blvd E,3534,3797,-263
Emerson Ave / Bloor St W,6632,6468,164
Emmett Ave,187,192,-5
Empress Ave / Yonge St,304,294,10
Erskine Ave / Redpath Ave,2264,1729,535
Erskine Ave / Yonge St SMART,1839,1720,119
Essex St / Christie St,7093,6429,664
Esther Shiner Stadium,530,540,-10
Euclid Ave / Bloor St W,10619,9662,957
Euclid Ave / Herrick St - SMART,5792,5625,167
Exhibition GO (Atlantic Ave),9798,9926,-128
Exhibition GO Station,4951,5019,-68
Fairglen Cres / Weston Rd,21,20,1
Fairmount Park,1652,1783,-131
Felstead Ave/Gillard Ave (Monarch Park),4713,4731,-18
Fenwood Ht / Kingston Rd,177,185,-8
Ferrand Dr / Rochefort Dr,1018,1053,-35
Finch Ave W / Wilmington Ave,63,54,9
Finch Subway Station,1358,1396,-38
Finch West Subway Station,951,917,34
Firvalley Ct / Warden Ave,219,251,-32
Fleet St / Bathurst St,14880,15468,-588
Fleming Cres / Bayview Ave,2011,2118,-107
Florence Gell Park,626,771,-145
Fort York  Blvd / Capreol Ct,32506,31339,1167
Fort York Blvd / Bathurst St - SMART,13778,13069,709
Fort York Blvd / Garrison Rd,13088,13411,-323
Fort York Blvd / Grand Magazine St,9601,9538,63
Frederick St / King St E,29714,32213,-2499
Frederick St / The Esplanade,4683,5428,-745
Frobisher Ave / Lascelles Blvd,2661,2620,41
Front St E / Bayview Avenue,12928,13096,-168
Front St E / Cherry St,17680,17857,-177
Front St E / Scott St,15103,15384,-281
Front St W / Bay St (North Side),10825,10883,-58
Front St W / Bay St (South Side),15642,16513,-871
Front St W / Blue Jays Way,22167,22446,-279
Front St W / Simcoe St,10513,10814,-301
Front St W / Spadina Ave,10376,10674,-298
Front St W / University Ave (1),11578,13282,-1704
Front St W / University Ave (2),21037,21684,-647
Front St W / Yonge St (Hockey Hall of Fame),12752,17061,-4309
Fulton Ave / Pape Ave,2751,2469,282
G Ross Lord Park,494,480,14
Galbraith Rd / King's College Rd,12282,12029,253
Gamble Ave / Broadview Ave,3767,3524,243
Garden Ave / Roncesvalles Ave,6633,6876,-243
George St / King St E,13235,13806,-571
Gerrard Square Mall (1010 Gerrard St E),10614,11340,-726
Gerrard St E / Broadview Ave  - SMART,13045,13431,-386
Gerrard St E / Leslie St,5465,5752,-287
Gerrard St E / Main St,2294,1923,371
Gerrard St E / Malvern Ave - SMART,1053,841,212
Gerrard St E / Nasmith Ave,4789,4639,150
Gerrard St E / River St,5288,5454,-166
Gerrard St E / Victoria Park Ave - SMART,1588,1590,-2
Gladstone Ave / Queen St W,8074,8220,-146
Glebe Rd W / Yonge St,2217,2129,88
Glen Edyth Dr / Davenport Rd,3957,3931,26
Glen Long Community Centre,353,393,-40
Glencairn Subway Station,667,658,9
Glendonwynne Rd / Bloor St W,5526,5511,15
Goodwood Park Crt / Dentonia Park,570,468,102
Gordonridge Pl / Danforth Rd,115,126,-11
Gothic Ave / Quebec Ave,3384,3014,370
Gould St / Mutual St,24621,23920,701
Gould St / Yonge St (TMU),18754,19254,-500
Granby St / Church St - SMART,22519,20633,1886
Grand Avenue Park,3372,3475,-103
Grantbrook St / Finch Hydro Corridor Trail,1,1,0
Greenwood Ave / Gerrard St E,4508,4886,-378
Greenwood Ave / Sammon Ave,1704,1746,-42
Grenoble Dr / Deauville Ln,269,256,13
Grenoble Dr / Gateway Blvd,1049,1091,-42
Grenoble Dr / Vendome Pl,465,469,-4
Guildwood GO Station (South),329,340,-11
Gunns Rd / Lavender Creek Trail,392,369,23
HTO Park (Queens Quay W),21272,24099,-2827
HTO Park West,11000,11827,-827
Hanna Ave / Liberty St,11695,13362,-1667
Hanna Ave / Snooker St,8276,8112,164
Harbord St / Clinton St,9184,9268,-84
Harbord St / Grace St (Bickford Park),4202,4081,121
Harvie Ave / Rogers Rd,631,567,64
Havelock St / Dewson St,5179,5309,-130
Havelock St / Dufferin Park,4414,4297,117
Hawksbury Dr / Sheppard Ave E,184,190,-6
Hayter St / La Plante Ave,13205,12847,358
Heyworth Cres / Kingston Rd,1797,1953,-156
High Park - Grenadier Cafe,3934,3982,-48
High Park - West Rd,3798,3757,41
High Park Amphitheatre,3419,3402,17
High Park Ave / Dundas St W,4217,4314,-97
High Park Blvd / Parkside Dr,5475,5615,-140
High Park Outdoor Pool,1945,1793,152
High Park Subway Station,3446,3426,20
Highfield Rd / Gerrard St E,4901,5308,-407
Highview Ave / Kennedy Rd,305,296,9
Hillsdale Ave E / Mount Pleasant Rd,1025,999,26
Hillsdale Ave W / Yonge St,2883,1941,942
Hocken Ave / Vaughan Rd,2770,2165,605
Housey St / Dan Leckie Way,20256,20975,-719
Howard Park Ave / Dundas St W - SMART,4304,4395,-91
Howard Park Ave / Parkside Dr,1561,1599,-38
Howard St / Rose Ave,5525,4350,1175
Howard St / Sherbourne St,12858,10571,2287
Hubbard Blvd / Balsam Av,2694,3120,-426
Hubbard Blvd / Glen Manor Dr,2700,3005,-305
Humber Bay Shores Park / Marine Parade Dr,18492,20128,-1636
Humber Bay Shores Park East,10256,10481,-225
Humber Bay Shores Park West,10248,11187,-939
Humber College (Lakeshore Campus),1663,1694,-31
Humber River Hospital,330,343,-13
Humberside Grounds - SMART,1072,1069,3
Huron St / Harbord St,17612,16662,950
Isabella St / Church St,19979,13850,6129
Islington Ave / Finch Ave W,227,235,-8
Islington Subway Station (Aberfoyle Cres),1506,1576,-70
Jameson Ave / Queen St W,5414,5690,-276
Jane St / Bloor St W (Jane Subway Station),2039,2012,27
Jane St / Finch Ave W,145,151,-6
Jane St / Haney Ave,674,690,-16
Jane St / Lawrence Ave W,123,87,36
Jane St / Queens Dr,126,122,4
Jane St / Weston Rd,291,288,3
Jane St / Yewtree Blvd,167,181,-14
Jane St / Yorkwoods Gt,89,83,6
Jarvis St / Carlton St,16456,16506,-50
Jarvis St / Dundas St E,24289,23557,732
Jarvis St / Isabella St,10974,8478,2496
Jarvis St / Maitland Pl,12703,12602,101
Jarvis St / Richmond St E,16266,16245,21
Jimmie Simpson Park (Queen St E),10862,11528,-666
Joe Shuster Way / King St W,15565,15828,-263
John St  / Mercer St - SMART,31108,31768,-660
Joseph J Piccininni Community Centre,1444,1318,126
Judson St / Royal York Rd,2286,2285,1
Keele St / Annette St,3403,3402,1
Keele St / Catford Rd,602,629,-27
Keele St / Dovehouse Ave - SMART,467,478,-11
Keele St / Ingram Dr,339,362,-23
Keele St / Lloyd Ave,1111,1102,9
Keele St / Vine Ave,2846,2774,72
Kempford Blvd / Yonge St,392,384,8
Kendal Ave / Bernard Ave,9634,9372,262
Kendal Ave / Spadina Rd,4814,4524,290
Kennedy Rd/Ranstone Gdns (Jack Goodlad Park),116,132,-16
Kewbeach Ave / Kenilworth Ave,3771,4273,-502
Kilgour Rd / Rumsey Rd,796,794,2
King St E / Berkeley St,14724,15683,-959
King St E / Church St,14207,14774,-567
King St E / Jarvis St,14612,17365,-2753
King St E / River St,18797,19017,-220
King St E / Victoria St,19761,20096,-335
King St W / Bay St (East Side),11494,11695,-201
King St W / Bay St (West Side),28944,62060,-33116
King St W / Brant St,13429,14152,-723
King St W / Charlotte St,31776,31869,-93
King St W / Cowan Ave - SMART,5619,5748,-129
King St W / Crawford St,8495,8235,260
King St W / Douro St,12034,12190,-156
King St W / Fraser Ave,2796,3038,-242
