station_name,departures,arrivals,net_flow
Lawrence Ave E / Don Mills Trail,1802,1806,-4
Lawrence Ave E / Mossbank Dr,6,5,1
Lawrence Ave E / Orton Park Rd,1,1,0
Lawrence Ave E / Overture Rd,157,158,-1
Lawrence Ave W / Bathurst St,261,262,-1
Lawrence Ave W / Dufferin St,454,465,-11
Lawrence Ave W / Marlee Ave,970,974,-4
Lawrence Ave W / Pine St,66,63,3
Lawrence Ave W / Renfield St,54,51,3
Lawrence East Station,6,6,0
Lawton Blvd / Yonge St,4801,4740,61
Leslie Lookout Park,895,942,-47
Leslie St / Commissioners St,222,225,-3
Leslie St / Commissioners St  ,5038,5038,0
Leslie Subway Station,514,512,2
Liberty St / Fraser Ave Green P,11513,11528,-15
Lillian St / Soudan Ave - SMART,2089,2074,15
Lindylou Rd / Lanyard Rd,86,91,-5
Ling Rd / Morningside Ave,233,235,-2
Linkwood Ln / Spanbridge Rd,10,11,-1
Lisgar Park,24654,24631,23
Lisgar St / Dundas St W - SMART,11938,11958,-20
Lisgar St / Queen St W - SMART,11990,11955,35
Little Norway Park,15086,15096,-10
Livingston Rd (Highland Creek Trail),251,252,-1
Livingston Rd / Guildwood Pkwy,394,394,0
Livonia Pl / Neilson Rd,2,2,0
Logan Ave / Bain Ave,5066,5077,-11
Logan Ave / Eastern Ave - SMART,4991,5022,-31
Logan Ave / Gerrard St E,10247,10301,-54
Lonsdale Rd / Spadina Rd,2020,2032,-12
Lower Don River Trail and Taylor Creek Trail,1971,1974,-3
Lower Jarvis St / Queens Quay E,26395,26386,9
Lower Jarvis St / The Esplanade,9930,9945,-15
Lower Sherbourne St / The Esplanade,20607,21122,-515
Lower Simcoe St / Bremner Blvd,25115,25138,-23
Lower Spadina Ave / Lake Shore Blvd W,13938,13964,-26
Lumsden Ave / Cedarvale Ave,2668,2673,-5
Lumsden Ave / Eastdale Ave,1342,1354,-12
Lundy Ave / _tienne Br_l_ Park,71,90,-19
Lundy Ave / Étienne Brûlé Park,473,473,0
Lundy Ave / ╔tienne Br¹lÚ Park,198,198,0
Lundy Ave / ╔tienne Br√lΘ Park,49,49,0
Lundy Ave / �tienne Br�l� Park,660,660,0
Luttrell Ave / Danforth Ave,866,879,-13
Lynn Williams St / East Liberty St,20873,20902,-29
Lynn Williams St / Pirandello St,1391,1398,-7
Lynn Williams St / Pirandello St ,12788,12788,0
Mabelle Park,530,537,-7
Macpherson Ave / Spadina Rd,6422,6451,-29
Madison Ave / Bloor St W,7621,7565,56
Maida Vale Park,133,131,2
Mallaby Park,2,2,0
Mallaby Park ,189,189,0
Mallon Ave / Jones Ave -SMART,4847,4870,-23
Marie Curtis Park,2096,2101,-5
Marilyn Bell Park Tennis Court,17603,17597,6
Marine Parade Dr / Humber Bay Shores Park Trl,6668,6677,-9
Markham Rd / Cougar Crt,117,117,0
Markham Rd / The Meadoway,5,9,-4
Markham Rd / The Meadoway ,278,278,0
Marlee Ave / York Beltline Trail,1290,1298,-8
Martin Goodman Trail (Marilyn Bell Park),8963,8939,24
Martin Grove Rd / Finch Ave W,22,22,0
Martin Grove Rd / Lexington Ave,73,73,0
Mary McCormick Rec Centre (Sheridan Ave),6379,6405,-26
Maud St / Adelaide St W - SMART,27577,27561,16
Maxome Ave / Finch Hydro Corridor,344,344,0
McCowan Rd / Brimorton Dr,2,1,1
McCowan Rd / Trudelle St,343,344,-1
McGill St / Church St,19235,19221,14
McRae Dr / Laird Dr - SMART,1634,1651,-17
Memorial Park Ave / Kimbourne Ave,128,135,-7
Memorial Park Ave / Kimbourne Ave ,199,199,0
Merton St / Mount Pleasant Rd,1321,1321,0
Metro Hall Plaza,12251,12293,-42
Midland Ave / Finch Recreational Trail,223,222,1
Midland Ave / Kingston Rd,641,641,0
Mill St / Cherry St,5703,5866,-163
Mill St / Parliament St,23414,23459,-45
Mill St / Tannery Rd,10768,10777,-9
Millwood Rd / Southvale Dr,1650,1679,-29
Moore Park,1586,1600,-14
Mornelle Ct / Ellesmere Rd,1,1,0
Morningside Ave / Kingston Rd,139,140,-1
Morningside Park (Highland Creek Trail),1080,1081,-1
Morse St / Eastern Ave,2698,2726,-28
Mortimer Ave / Carlaw Ave SMART,2729,2733,-4
Mortimer Ave / Coxwell Ave,3747,3734,13
Moss Park,11665,11737,-72
Mount Pleasant Rd / Davisville Ave - SMART,2442,2461,-19
Munition St / Commissioners St,223,206,17
Mutual St / Shuter St,26234,26216,18
Nassau St / Bellevue Ave,22408,22438,-30
Navy Wharf Crt / Bremner Blvd,13857,14105,-248
Neil McLellan Park,4169,4181,-12
Neilson Rd / Ellesmere Rd,3,3,0
Nelson St / Duncan St,32511,32849,-338
Niagara St / King St W - SMART,14311,14270,41
Niagara St / Portland St,11701,11696,5
Niagara St / Queen St W,881,889,-8
Niagara St / Queen St W ,8556,8556,0
Niagara St / Richmond St W,16779,16794,-15
Niagara St / Tecumseth St,10139,10140,-1
Noble St / Queen St W,6411,6425,-14
Northern Dancer Blvd / Lake Shore Blvd E,11050,11051,-1
O'Connor Dr / Curity Ave,535,543,-8
OCAD University,16888,16962,-74
Oak St / Sackville St,8841,8856,-15
Oak St / Sumach St,9815,9815,0
Oakdale Community Centre,64,63,1
Old Cummer GO Station,513,509,4
Ontario Place Blvd / Lake Shore Blvd W,14741,14758,-17
Ontario St / Adelaide St E -SMART,24181,24190,-9
Opposite 1103 Leslie St,719,720,-1
Orchard Park,2155,2163,-8
Orde St / McCaul St,12002,12020,-18
Oriole Pkwy / Kilbarry Rd,1167,1175,-8
Osler Playground (Argyle St),350,360,-10
Ossington Ave / Bloor St W,518,606,-88
Ossington Ave / Bruce St,19052,19084,-32
Ossington Ave / College St,1873,1898,-25
Ossington Ave / Harrison St,9824,9849,-25
Overlea Blvd / Thorncliffe Park Dr,802,807,-5
Pacific Ave / Glenlake Ave,5908,5880,28
Palmerston Ave / Dundas St W,25381,25340,41
Palmerston Ave / Vermont Ave,8010,8055,-45
Palmerston Blvd / Lennox St,9200,9223,-23
Pape Ave / Gamble Ave,4004,3908,96
Pape Ave / Hopedale Ave,534,541,-7
Park Lawn Rd / Berry Rd,813,828,-15
Parkcrest Dr / Kingston Rd,192,193,-1
Parkside Dr / Bloor St W - SMART,6449,6452,-3
Parkway Forest Dr / Forest Manor Rd (North),495,498,-3
Parkway Forest Dr / Forest Manor Rd (South),380,383,-3
Parliament St / Aberdeen Ave,10758,10770,-12
Pearldale Ave / Finch Ave W,106,106,0
Pharmacy Ave / Danforth Ave,480,479,1
Pharmacy Ave / Eglinton Ave E,68,71,-3
Pharmacy Ave / Eglinton Ave E ,748,748,0
Pharmacy Ave / Teesdale Pl,795,800,-5
Phoebe St / Spadina Ave,10042,10265,-223
Pioneer Village Subway Station,407,407,0
Pitfield Rd / McCowan Rd,46,44,2
Plaxton Dr / St. Clair Ave E,246,250,-4
Polson Pier,10044,10060,-16
Portland St / Front St W,856,850,6
Portland St / Queen St W,25012,25056,-44
Portland St / Wellington St W,20025,19991,34
Pottery Rd / Lower Don River Trail,3000,3011,-11
Pretoria Ave / Broadview Ave,5130,5039,91
Primrose Ave / Davenport Rd,1328,1335,-7
Princes' Blvd / Nunavut Rd,4285,4294,-9
Princes' Gates,9309,9321,-12
Princess St / Front St E,17514,17461,53
Priscilla Ave / Dundas St W,1143,1156,-13
Prudential Dr / Midland Ave,161,161,0
Queen St E / Alton Av,5535,5593,-58
Queen St E / Berkeley St,8747,8745,2
Queen St E / Hammersmith Ave,1117,1123,-6
Queen St E / Joseph Duggan Rd,3877,3905,-28
Queen St E / Nursewood Rd,2060,2067,-7
Queen St E / Pape Ave - SMART,5212,5242,-30
Queen St E / Rhodes Ave,3439,3453,-14
Queen St E / Rushbrooke Ave,5367,5376,-9
Queen St E / Sackville St,5374,5374,0
Queen St E / Woodward Ave,4652,4672,-20
Queen St W  /  Fuller Ave - SMART,5809,5831,-22
Queen St W / Cowan Ave,9449,9469,-20
Queen St W / Dovercourt Rd,12680,12752,-72
Queen St W / John St,37745,37956,-211
Queen St W / Ossington Ave,16868,16898,-30
Queen St W / Shaw St,16220,16237,-17
Queen St W / Spadina Ave,11091,11160,-69
Queen St. E / Eastern Ave,2997,2997,0
Queen St. E / Spruce Hill Rd.,1698,1719,-21
Queen's Park / Bloor St W,22219,22271,-52
Queen's Park Cres E / Grosvenor St - SMART,6930,6930,0
Queen's Park Cres W / Hoskin Ave,14258,14287,-29
Queen_s Plate Dr / Rexdale Blvd,3,4,-1
Queens Park Cres / College St,2254,2044,210
Queens Park Cres / College St ,14442,14442,0
Queens Quay / Yonge St,29535,29739,-204
Queens Quay E / Freeland St,22896,23032,-136
Queens Quay E / Lower Jarvis St,1605,1651,-46
Queens Quay E / Lower Jarvis St ,23987,23987,0
Queens Quay E / Lower Sherbourne St,26046,26070,-24
Queens Quay E / Merchants' Wharf,10082,10126,-44
Queens Quay W / Dan Leckie Way,17819,17799,20
Queens Quay W / Lower Simcoe St,27830,27925,-95
QueenÆs Plate Dr / Rexdale Blvd,32,32,0
Queen’s Plate Dr / Rexdale Blvd,10,10,0
Queen�s Plate Dr / Rexdale Blvd,45,45,0
Ramsden Park,6247,6229,18
Randolph Ave / Perth Ave,4520,4535,-15
Ranee Ave / Flemington Rd (North),74,83,-9
Regal Rd / Dufferin St,1273,1282,-9
Richmond St E / Jarvis St Green P,8649,8514,135
Richmond St E / Yonge St,34717,34752,-35
Richmond St W / Bathurst St,25772,25794,-22
Richmond St W / York St,15130,15152,-22
Ridge Rd / Wilson Ave,3,6,-3
Ridge Rd / Wilson Ave ,78,78,0
Ripley Ave / Ormskirk Ave,1532,1538,-6
Riverdale Park North (Broadview Ave),8497,8518,-21
Riverdale Park South (Broadview Ave),11005,11006,-1
Robert St / Bloor St W - SMART,24997,25003,-6
Rochefort Dr / Don Mills Rd,175,177,-2
Rockcliffe Blvd / Alliance Ave,227,224,3
Roding St / Nash Dr,189,184,5
Roehampton Ave / Bayview Ave,1405,1407,-2
Roehampton Ave / Mount Pleasant Rd,2375,2393,-18
Rogers Rd / Bicknell Ave,601,594,7
Rogers Rd / Prospect Cemetery,546,549,-3
Rogers Rd / Watt Ave,808,813,-5
Rogers Stadium,292,292,0
Roncesvalles Ave / Fermanagh Ave,9131,9133,-2
Roncesvalles Ave / Marmaduke St,6972,6986,-14
Rosedale Park (20 Scholfield Ave),1962,1965,-3
Rosehill Ave / Avoca Ave - SMART,1348,1369,-21
Ross St / Cecil St - SMART,6261,6237,24
Rouge Hill GO Station,1121,1131,-10
Roxton Rd / Harbord St,5069,5079,-10
Royal York Rd / Lake Shore Blvd W,1664,1679,-15
Royal York Rd / Mimico Ave,1310,1321,-11
Ruddington Dr / Finch Recreational Trail,447,452,-5
Rumike Rd / Finch Ave W,7,7,0
Runnymede Rd / Annette St,2704,2715,-11
Rusholme Park Cres / College St,14213,14248,-35
Rushton Rd / St. Clair Ave W,2335,2353,-18
Russell Hill Rd / St. Clair Ave W,2233,2203,30
Sackville St / Eastern Ave - SMART,10534,10544,-10
Salem Ave / Bloor St W,11030,11064,-34
Saulter St / Queen St E - SMART,5045,5057,-12
Scarborough GO Station,1935,1917,18
Scarborough Golf Club Rd / Lawrence Ave E,1,2,-1
Scarborough Golf Club Rd / Lawrence Ave E ,1,1,0
Scarborough Soccer Centre,367,366,1
Scarborough Village Park,28,28,0
Scarlett Rd / Clairton Cres,1,1,0
Scarlett Rd / Eileen Ave,561,563,-2
Scarlett Rd / Old Scarlett Rd,5,5,0
Scarlett Rd / Old Scarlett Rd ,325,325,0
Scott St / The Esplanade,17091,17133,-42
Scrivener Sq / Yonge St,2740,2740,0
Seaton St / Dundas St E - SMART,2977,2874,103
Second St / Lake Shore Blvd W,1604,1602,2
Sentinel Rd / Finch Ave W,535,535,0
Sentinel Rd / Finch Corridor Trail,1596,1596,0
Sentinel Rd / Sheppard Ave W,22,24,-2
Sharpe St / Park St (Sandown Park),251,250,1
Shaughnessy Blvd / Sheppard Ave E,361,360,1
Shaw St / College St,12285,12346,-61
Shaw St / Essex St - SMART,9466,9544,-78
Shaw St / King St W,19506,19515,-9
Sheppard Ave E / Brian Dr,418,415,3
Sheppard Ave E / Leslie St,561,560,1
Sheppard Ave E / Willowdale Ave,37,40,-3
Sheppard Ave E / Willowdale Ave ,485,485,0
Sheppard Ave W / Chesswood Dr,466,469,-3
Sheppard Ave W / Magellan Dr,52,49,3
Sherbourne St / Carlton St (Allan Gardens),19769,19803,-34
Sherbourne St / Isabella St,18980,19045,-65
Sherbourne St / Wellesley St E,21738,21166,572
Sherbourne St N / Elm Ave,4730,4751,-21
Shuter St/River St,14534,14524,10
Silver Springs Blvd / Birchmount Rd,184,186,-2
Silverstone Dr / Stevenson Rd,8,6,2
Silverthorn Ave / Pryor Ave,180,124,56
Simcoe St / Adelaide St W,111,127,-16
Simcoe St / Dundas St W,18951,18530,421
Simcoe St / Elm St,8131,8142,-11
Simcoe St / King St W,19863,19872,-9
Simcoe St / Michael Sweet Ave,8501,8496,5
Simcoe St / Pullan Pl,9230,9258,-28
Simcoe St / Queen St W,20441,20499,-58
Simcoe St / Wellington St W (North),7509,7562,-53
Simcoe St / Wellington St W (North) 2,705,717,-12
Simcoe St / Wellington St W (North) 3,119,250,-131
Simcoe St / Wellington St W South,15544,15601,-57
Sixth St / Lake Shore Blvd W,1046,1049,-3
Slan Ave / Scarborough Golf Club Rd,181,183,-2
Soho St / Queen St W,32767,33106,-339
Sorauren Ave / Geoffrey St - SMART,4908,4907,1
Soudan Ave / Yonge St,433,405,28
Soudan Ave / Yonge St ,6144,6144,0
Southwood Dr / Kingston Rd - SMART,2181,2197,-16
Spadina Ave / Adelaide St W,32080,32083,-3
Spadina Ave / Blue Jays Way,17925,17421,504
Spadina Ave / Bulwer St- SMART,1182,1159,23
Spadina Ave / Bulwer St- SMART ,9556,9556,0
Spadina Ave / Dundas St W - SMART,18406,18415,-9
Spadina Ave / Fort York Blvd,19042,19093,-51
Spadina Ave / Harbord St - SMART,31855,31535,320
Spadina Ave / Sullivan St,18029,18036,-7
Spadina Ave / Sussex Ave,1476,1085,391
Spadina Ave / Sussex Ave ,11512,11512,0
Spadina Ave / Willcocks St,11034,11034,0
Spadina Rd / Austin Terrace,2983,2982,1
Spadina Rd / St. Clair Ave W,1519,1511,8
St Clair Ave W / Oakwood Ave,1412,1421,-9
St Clarens Ave / College St,5794,5823,-29
St Clarens Ave / Shirley St,3116,3120,-4
St. Andrew's Playground Park,16863,16931,-68
St. Clair Ave W / Avenue Rd,250,232,18
St. Clair Ave W / Avenue Rd ,3517,3517,0
St. Clair Ave W / Bathurst St,4076,3843,233
St. Clair Ave W / Caledonia Rd,806,806,0
St. Clair Ave W / Castleton Ave,2109,2120,-11
St. Clair Ave W / Gunns Rd,1691,1677,14
St. Clair Ave W / Osler St,3233,3265,-32
St. Clair Ave W / Poplar Plains Rd,225,119,106
St. Clair Ave W / Robina Ave,2111,2001,110
St. Clair Ave W / Symes Rd,842,842,0
St. Clair Ave W / Winona Dr,2051,2055,-4
St. Clair West Subway Station - Heath St. W,1548,1560,-12
St. Columba Pl / St. Clair Ave E,833,844,-11
St. George St / Bloor St W,30026,30140,-114
St. George St / Hoskin Ave,18341,18368,-27
St. George St / Willcocks St,24025,23207,818
St. John's Rd / Dundas St W,1812,1825,-13
St. Joseph St / Bay St - SMART,12121,12121,0
Stansbury Cr / Midland Ave,120,122,-2
Starspray Blvd / Lawrence Ave E,797,799,-2
Sterling Rd / Dundas St W,2052,2057,-5
Strachan Ave / East Liberty St - SMART,27929,27938,-9
Strachan Ave / Ordnance St,2453,2417,36
Strachan Ave / Princes' Blvd,6798,6801,-3
Sumach St  / Queen St E,11867,11860,7
Sumach St / Carlton St (Riverdale Farm),9439,9472,-33
Summerhill Ave / Maclennan Ave,1960,1973,-13
Summerhill Subway Station,5206,5233,-27
Sunnybrook Health Centre - L Wing,1078,1056,22
Sunnybrook Health Centre - S Wing,1869,1862,7
Sunnybrook Park,880,883,-3
Sunnyside - Gus Ryder Pool,10865,10872,-7
Sunnyside Ave / The Queensway - SMART,6401,6416,-15
Sunrise Ave / Victoria Park Ave,330,332,-2
Superior Ave / Lake Shore Blvd W,1940,1947,-7
Surrey Pl / Dr. Emily Stowe Way - SMART,2679,2703,-24
Sussex Ave / St George St,10620,10653,-33
Swansea Community Centre,1436,1437,-1
Symes Rd / Glen Scarlett Rd - SMART,379,381,-2
Symington Ave / Davenport Rd,2199,2214,-15
Symington Ave / Dupont St,5802,5823,-21
Taddle Creek Park,11263,11242,21
Talbot Rd / Finch Hydro Corridor,926,931,-5
Tangiers Rd / Finch Ave W,209,209,0
Tecumseth St / Queen St W - SMART,1068,1068,0
Tecumseth St / Tecumseth Pl,10341,10342,-1
Ted Rogers Way / Bloor St E,14740,14181,559
Teddington Park Ave,695,698,-3
Temperance St / Bay St,14832,14839,-7
Temperance St Station,35417,37037,-1620
The Esplanade / Hahn Pl,10073,10014,59
The Kingsway / Ashley Rd,431,434,-3
The Pond Rd / Ian Macdonald Blvd,971,970,1
The Pond Rd / Sentinel Rd,1521,1523,-2
The Pond Rd / Shoreham Dr,550,548,2
The Queensway / High St,1228,1240,-12
The Queensway at South Kingsway,1875,1875,0
The Well,16227,16209,18
Thistletown Community Centre,36,36,0
Thompson St / Broadview Ave - SMART,9078,9308,-230
Thompson St / Carroll St,7434,7459,-25
Thorncliffe Park Dr / Leaside Park Trail,1663,1682,-19
Tiago Ave / Westview Blvd,455,464,-9
Tobermory Dr / Finch Ave W,57,57,0
Tobermory Dr / Finch Corridor Trail,167,167,0
Tommy Thompson Park (Leslie Street Spit),22029,22040,-11
Toronto Eaton Centre (Yonge St) - SMART,21880,21917,-37
Toronto Inukshuk Park,17615,17654,-39
Toronto Public Library - Agincourt,145,148,-3
Toronto Public Library - Bendale,1,1,0
Torresdale Ave / Antibes Dr,911,921,-10
Torresdale Ave / Finch Ave W,363,363,0
Trent Ave / Danforth Ave,1312,1322,-10
Trethewey Dr / Black Creek Dr,124,126,-2
Trethewey Dr / Jane St,264,262,2
Trinity St /Front St E,9457,9508,-51
Twelfth St / Thirteenth St,864,876,-12
Tyndall Ave / King St W - SMART,8524,8537,-13
Ulster St / Bathurst St,9385,9402,-17
Union Station,31425,32083,-658
Union Station (North),11188,11149,39
University Ave / College St (East),16353,16379,-26
University Ave / Gerrard St W (East Side),29834,30423,-589
University Ave / Gerrard St W - SMART(South),5521,5483,38
University Ave / King St W - SMART,11953,11954,-1
University Ave / Pearl St,949,974,-25
University Ave / Pearl St ,7823,7823,0
University Ave / Queen St W,16020,16051,-31
University Ave / Richmond St W,9437,9446,-9
University of Toronto Scarborough,387,387,0
Uno Dr / The Queensway,2287,2300,-13
Ursula Franklin St / Huron St - SMART,10401,10271,130
Ursula Franklin St / St. George St - SMART,15836,15978,-142
Valparaiso Ave / Lawrence Ave E,39,38,1
Vanauley St / Queen St W - SMART,12878,12883,-5
Vaughan Rd / Oakwood Ave,847,853,-6
Vaughan Rd /Wychwood Ave,1506,1528,-22
Victoria Park Ave / Danforth Ave,2028,2032,-4
Victoria Park Ave / Dawes Rd,987,999,-12
Victoria Park Ave / Edge Park Ave,275,277,-2
Victoria Park Ave / Kingston Rd,1626,1624,2
Victoria Park Ave / Patrick Blvd,12,10,2
Victoria Park Ave / Patrick Blvd ,128,128,0
Victoria Park Ave / The Meadoway,22,23,-1
Victoria Park Subway Station - SMART,993,991,2
Viewmount Park,414,414,0
Village Green Square,151,157,-6
Wakunda Pl / O'Connor Dr,277,282,-5
Wallace Ave / Pauline Ave,3582,3598,-16
Wallace Ave / Symington Ave - SMART,3326,3337,-11
Walnut Ave / Queen St W,14930,14935,-5
Walter Saunders Park,918,940,-22
Ward St / Wallace Ave,8533,8560,-27
Ward's Island Ferry Dock,34202,34202,0
Warden Ave / Huntingwood Dr,156,150,6
Warden Ave / The Meadoway,226,226,0
Warden Subway Station,432,432,0
Warehouse EBS-Station,0,1,-1
Waterfront Trail (Rouge Hill),3184,3174,10
Wellesley St E / Jarvis St,13722,13614,108
Wellesley St E / Parliament St,11387,11426,-39
Wellesley St W / Queen's Park Cres,12238,12266,-28
Wellesley Station ,247,247,0
Wellesley Station Green P,30723,30181,542
Wellington St E / Church St,75,281,-206
Wellington St W / Bay St,19678,19894,-216
Wellington St W / Blue Jays Way,25835,25858,-23
Wellington St W / Stafford St,18060,18175,-115
Wells Hill Ave / St. Clair Ave W,2296,2289,7
Wells St / Brunswick Ave,6099,6062,37
Wendover Rd / Bloor St W (Green P),1005,1008,-3
Western Battery Rd / Pirandello St,9869,9829,40
Westmore Dr / Finch Ave W,52,52,0
Westmoreland Ave / Fernbank Ave,7213,7240,-27
Weston Lions Park,656,665,-9
Weston Rd / Gaydon Ave,22,21,1
Weston Rd / Lanyard Rd,288,288,0
Weston Rd / Sheppard Ave W,225,224,1
Weston Rd / St. Clair Ave W,1416,1423,-7
Widmer St / Adelaide St W (South),2665,2565,100
Widmer St / Adelaide St W - SMART,42542,42756,-214
Widmer St / King St W,24031,23991,40
Wilket Creek Park,1532,1528,4
Willcocks St / St. George St,6773,6770,3
William Cragg Dr / Jane St,6,7,-1
Willingdon Blvd / Bloor St W (Green P),1587,1599,-12
Willowdale Ave / Bishop Ave,22,23,-1
Willowdale Ave / Bishop Ave ,1032,1032,0
Wilmington Ave / Kennard Ave,209,209,0
Wilson Ave / Transit Rd (TTC Subway Station),660,660,0
Windsor St / Newcastle St,3841,3846,-5
Winona Dr / Davenport Rd,3965,3990,-25
Woburn Ave / Avenue Rd,24,30,-6
Wolseley St / Augusta Ave,13658,13728,-70
Woodbine Ave / Lake Shore Blvd E,4117,4156,-39
Woodbine Ave / O'Connor Dr,787,790,-3
Woodbine Subway Station,3282,3264,18
Wright Ave / Sorauren Ave - SMART,5446,5487,-41
Wychwood Ave / Benson Ave - SMART,2450,2468,-18
Wynford Heights Cres / Concorde Pl,472,473,-1
YZD,115,113,2
Yarmouth Rd / Christie St,4828,4867,-39
Yonge St / Alexander St - SMART,26682,26700,-18
Yonge St / Aylmer Ave,5676,5585,91
Yonge St / Bloor St,28324,28373,-49
Yonge St / Davisville Ave,3077,3084,-7
Yonge St / Dundas Sq,27589,27683,-94
Yonge St / Dundonald St,2280,2113,167
Yonge St / Dundonald St ,16905,16905,0
Yonge St / Golfdale Rd,420,424,-4
Yonge St / Lake Shore Blvd E,149,172,-23
Yonge St / Lawrence Ave E,2031,2062,-31
Yonge St / Macpherson Ave,52,52,0
Yonge St / Merton St,183,101,82
Yonge St / Merton St ,2865,2865,0
Yonge St / Montgomery Ave - SMART,1873,1883,-10
Yonge St / North York Blvd,1191,1195,-4
Yonge St / Orchard View Blvd,9227,8898,329
Yonge St / Sheppard Ave E,2513,2516,-3
Yonge St / St. Clair Ave,9211,9122,89
Yonge St / Wood St,6171,6171,0
Yonge St / Yorkville Ave,22973,23004,-31
York Mills Rd / Lesmill Rd,637,640,-3
York Recreation Centre,323,328,-5
York St / Harbour St (Love Park),12045,12029,16
York St / Lake Shore Blvd W,22321,22323,-2
York St / Queen St W (City Hall),12250,12288,-38
York St / Queens Quay W,53698,53965,-267
York St / Wellington St W (1),1007,1047,-40
York St / Wellington St W (1) ,7788,7788,0
York St / Wellington St W (2),5346,5475,-129
York University (Glendon Campus) - SMART,894,888,6
York University Station (North),445,445,0
York University Station (South) - SMART,527,527,0
