station,line,total_delays,significant_delays,total_delay_min,mean_delay_min,median_delay_min,pct_infrastructure,pct_operations,pct_safety,pct_equipment,pct_transportation
VMC,YU,1,1,8,8.0,8.0,100.0,0.0,0.0,0.0,0.0
ST. CLAIR WEST,YU,1,1,8,8.0,8.0,100.0,0.0,0.0,0.0,0.0
FINCH STATION PLAT 2,YU,1,1,8,8.0,8.0,0.0,0.0,0.0,100.0,0.0
KENNEDY PLATFORM 2,BD,2,0,8,4.0,4.0,0.0,0.0,0.0,100.0,0.0
ISLINGTON STATION LEAV,BD,1,1,7,7.0,7.0,100.0,0.0,0.0,0.0,0.0
SHERBOURNE STATION,YU,1,1,7,7.0,7.0,0.0,0.0,100.0,0.0,0.0
UNION STATION - TO KIN,YU,2,0,7,3.5,3.5,0.0,57.14285714285714,42.857142857142854,0.0,0.0
ROYAL YORK TO DONLANDS,BD,1,1,7,7.0,7.0,0.0,100.0,0.0,0.0,0.0
BAYVIEW,SHP,1,1,7,7.0,7.0,100.0,0.0,0.0,0.0,0.0
DON MILLS STATION - LE,SHP,1,1,7,7.0,7.0,100.0,0.0,0.0,0.0,0.0
UNION STATION- KING,YU,1,1,7,7.0,7.0,0.0,0.0,100.0,0.0,0.0
VMC STATION PL 2,YU,2,0,7,3.5,3.5,0.0,100.0,0.0,0.0,0.0
YORK MILLS,YU,1,1,7,7.0,7.0,100.0,0.0,0.0,0.0,0.0
FINCH STATION - PLAT 2,YU,1,1,6,6.0,6.0,0.0,0.0,0.0,100.0,0.0
EGLINTON STATION - PLA,YU,1,1,6,6.0,6.0,0.0,100.0,0.0,0.0,0.0
FINCH STATION PLATFOR,YU,1,1,6,6.0,6.0,0.0,100.0,0.0,0.0,0.0
RUNNYMEDE STATION - A,BD,1,1,6,6.0,6.0,0.0,0.0,0.0,0.0,100.0
VMC PLATFORM # 1,YU,1,1,6,6.0,6.0,0.0,100.0,0.0,0.0,0.0
KIPLING STATION APPROA,BD,1,1,6,6.0,6.0,100.0,0.0,0.0,0.0,0.0
KIPLING PLATFORM # 1,BD,1,1,6,6.0,6.0,0.0,100.0,0.0,0.0,0.0
ISLINGTON TO COXWELL S,BD,1,1,6,6.0,6.0,0.0,0.0,0.0,0.0,100.0
UNION STATION TO VMC,YU,1,1,6,6.0,6.0,0.0,0.0,0.0,0.0,100.0
SHEPPARD-YONGE STATION,YU,1,1,6,6.0,6.0,0.0,0.0,100.0,0.0,0.0
VICTORIA PARK TO WARDE,BD,1,1,5,5.0,5.0,0.0,100.0,0.0,0.0,0.0
VMC STATION - TAIL 2,YU,1,1,5,5.0,5.0,100.0,0.0,0.0,0.0,0.0
UNION,YU,1,1,5,5.0,5.0,0.0,100.0,0.0,0.0,0.0
VMC PLATFORM 1,YU,1,1,5,5.0,5.0,0.0,0.0,0.0,100.0,0.0
UNION STATION - TO ST,YU,1,1,5,5.0,5.0,0.0,0.0,100.0,0.0,0.0
FINCH STATION - TT,YU,1,1,5,5.0,5.0,0.0,0.0,100.0,0.0,0.0
EGLINTON STATION APPRO,YU,1,1,5,5.0,5.0,0.0,100.0,0.0,0.0,0.0
DON MILLS STATION- PLA,SHP,1,1,5,5.0,5.0,0.0,100.0,0.0,0.0,0.0
KIPLING STATION PLATFR,BD,1,1,5,5.0,5.0,0.0,100.0,0.0,0.0,0.0
LANSDOWNE STATION APPR,BD,1,1,5,5.0,5.0,0.0,0.0,100.0,0.0,0.0
KENNEDY BD STATION- PL,BD,1,1,5,5.0,5.0,0.0,0.0,100.0,0.0,0.0
KIPLING STATION - TAIL,BD,1,1,5,5.0,5.0,0.0,0.0,100.0,0.0,0.0
DON MILLS STATION PLAT,SHP,1,1,5,5.0,5.0,0.0,0.0,0.0,0.0,100.0
ROSEDALE STATION,SHP,1,1,5,5.0,5.0,0.0,0.0,100.0,0.0,0.0
FINCH STATION TO ST GE,YU,1,1,5,5.0,5.0,0.0,0.0,0.0,0.0,100.0
KENNEDY BD STATION #1,BD,1,1,5,5.0,5.0,0.0,100.0,0.0,0.0,0.0
FINCH STATION- PLATFOR,YU,1,1,5,5.0,5.0,0.0,100.0,0.0,0.0,0.0
KIPLING TAIL 2,BD,1,1,5,5.0,5.0,0.0,0.0,100.0,0.0,0.0
