model,predictor,coefficient,std_err,t_value,p_value
strict_near_subway,C(day_of_week)[T.1],105.1711222033007,25.531981237041684,4.119191582779283,3.802039410795256e-05
strict_near_subway,C(day_of_week)[T.2],126.19053965380206,27.477642673081608,4.592480554288024,4.380083348332836e-06
strict_near_subway,C(day_of_week)[T.3],74.01170911363035,32.91482009358049,2.248583127697701,0.02453903086551165
strict_near_subway,C(day_of_week)[T.4],36.55407942386844,23.43512559127633,1.5597987423406687,0.11880744877735368
strict_near_subway,C(day_of_week)[T.5],6.719888523734128,33.15056847320979,0.20270809320101768,0.8393631970475899
strict_near_subway,C(day_of_week)[T.6],-13.61412361180206,25.85042161995221,-0.5266499638556854,0.5984366884515618
strict_near_subway,C(month)[T.2],-50.277302791638036,45.76095497496328,-1.0986943524047026,0.27190140678236474
strict_near_subway,C(month)[T.3],39.4731453916046,36.49795894431958,1.081516515809114,0.27946741806070297
strict_near_subway,C(month)[T.4],185.65699048635278,53.81300177053182,3.4500396628685963,0.0005605041968380369
strict_near_subway,C(month)[T.5],355.92470978203926,73.4636430245395,4.844909606009433,1.2666933617602991e-06
strict_near_subway,C(month)[T.6],678.1760781630275,103.15717821760397,6.574201523159688,4.891494527938202e-11
strict_near_subway,C(month)[T.7],844.059203880962,105.2562562218228,8.019088215546498,1.0653297934201261e-15
strict_near_subway,C(month)[T.8],839.1134295544217,90.60504885674312,9.261221533925282,2.021066023413438e-20
strict_near_subway,C(month)[T.9],853.3004548110345,81.93534982001584,10.4143139278156,2.1333014685835985e-25
strict_near_subway,C(month)[T.10],637.5014670069874,75.66229531758697,8.425616277316482,3.5885641288421925e-17
strict_near_subway,C(month)[T.11],296.73771363325295,56.23322222729865,5.2769110835196,1.313795928979689e-07
strict_near_subway,C(month)[T.12],24.090211242393107,53.94512830936642,0.44656880050854114,0.6551864265984131
strict_near_subway,is_strict_disruption,37.63566590472155,21.275232731614434,1.768989621852453,0.07689560652178347
strict_near_subway,temp_mean_c,19.744235623077955,3.272155249434262,6.034015539602416,1.5993467461481181e-09
strict_near_subway,total_rain_mm,-12.36355058922551,2.7741438119584325,-4.456708601742369,8.322761188172282e-06
strict_near_subway,total_snow_cm,-18.303685183929932,5.294599476832052,-3.4570481230964956,0.0005461273133659137
continuous_all_trips,Intercept,7640.365152813731,792.1693098036598,9.64486386717936,5.167971890081227e-22
continuous_all_trips,C(day_of_week)[T.1],1888.1828858992876,560.089276371344,3.371217706813237,0.000748366921828184
continuous_all_trips,C(day_of_week)[T.2],2192.551798227741,596.0837688624732,3.6782611987772484,0.0002348294109971654
continuous_all_trips,C(day_of_week)[T.3],1404.03657762233,727.1924088594498,1.930763523541813,0.053512303164159794
continuous_all_trips,C(day_of_week)[T.4],1861.1881948843788,564.3400893912292,3.2979903959899413,0.0009737946506205415
continuous_all_trips,C(day_of_week)[T.5],1271.6087737477885,763.3079875398221,1.6659183376899331,0.09572968066600321
continuous_all_trips,C(day_of_week)[T.6],245.24970520586191,617.8211878086217,0.3969590393553017,0.6913976661058602
continuous_all_trips,C(month)[T.2],-1582.361621533006,1075.26496474704,-1.471601580458136,0.14112849853832055
continuous_all_trips,C(month)[T.3],418.08292915005524,834.9366427039064,0.5007361130972904,0.6165568530763008
continuous_all_trips,C(month)[T.4],3641.7793293514665,1173.9017066400613,3.1022864254750586,0.0019203205799616717
continuous_all_trips,C(month)[T.5],8092.798418899618,1660.8561864122805,4.872666571078245,1.1010195631838056e-06
continuous_all_trips,C(month)[T.6],14729.720327316358,2179.464912330269,6.758411316458149,1.3951300104909269e-11
continuous_all_trips,C(month)[T.7],19301.45023586914,2353.26404732011,8.201990872146103,2.3643825460683096e-16
continuous_all_trips,C(month)[T.8],19406.508457828586,1979.0609156723065,9.805917697705633,1.0617743140951632e-22
continuous_all_trips,C(month)[T.9],18920.54650410031,1815.082456434533,10.424069957277307,1.9253369191080215e-25
continuous_all_trips,C(month)[T.10],13942.592678402576,1585.1863648980818,8.79555425604421,1.4234359036690583e-18
continuous_all_trips,C(month)[T.11],6647.398564543744,1146.6545371281645,5.797211234337746,6.7426741889206e-09
continuous_all_trips,C(month)[T.12],222.94663894161275,1183.240821063358,0.18842034095920937,0.8505471554829471
continuous_all_trips,total_delay_min,1.7030938827622555,1.0634069626408413,1.601544791970169,0.10925630747618782
continuous_all_trips,temp_mean_c,446.15859583476293,73.6066173615511,6.061392464800546,1.3494809840916278e-09
continuous_all_trips,total_rain_mm,-254.66962732764,65.05511252976916,-3.914675072018412,9.052603353414602e-05
continuous_all_trips,total_snow_cm,-402.93896844965093,125.8238065492458,-3.202406440405583,0.001362845620975252
continuous_near_subway,Intercept,357.3218511583801,34.70285470355767,10.296612604661258,7.298625080411268e-25
continuous_near_subway,C(day_of_week)[T.1],104.65841956252939,25.464604095589358,4.10995667435713,3.957333595649778e-05
continuous_near_subway,C(day_of_week)[T.2],127.57989915873749,27.18572325727555,4.692900679940308,2.693582801973459e-06
continuous_near_subway,C(day_of_week)[T.3],75.74647780964209,33.44441772249989,2.264846661052295,0.023522090905347456
continuous_near_subway,C(day_of_week)[T.4],36.9409974224134,23.396615844640603,1.5789034477341035,0.1143582050873307
continuous_near_subway,C(day_of_week)[T.5],6.194593915005283,33.104268369910166,0.18712372210695963,0.8515636291063196
